timestamp,principal,action,resource,label
2024-05-29T15:52:40.601278Z,service_account_5,list_all_instances_in_project,project_3,benign
2024-01-24T16:21:44.601278Z,service_account_3,list_all_instances_in_project,project_5,benign
2024-08-17T13:24:07.601278Z,user_5,list_all_buckets_of_project,project_1,benign
2024-06-19T05:47:20.601278Z,user_7,assign_ssh_key_to_instance,instance_47,benign
2023-10-31T21:20:17.601278Z,user_1,log_on_to_instance,instance_47,malicious
2024-04-03T06:52:07.601278Z,service_account_1,assign_ssh_key_to_instance,instance_39,benign
2023-11-08T05:44:13.601278Z,service_account_5,list_all_instances_in_project,project_3,benign
2023-11-13T14:00:36.601278Z,user_3,list_all_objects_in_bucket,bucket_17,benign
2023-11-15T01:31:25.601278Z,service_account_2,assume_service_account,service_account_2,benign
2024-03-24T14:42:07.601278Z,user_1,assume_service_account,service_account_2,benign
2024-08-06T01:13:23.601278Z,user_3,assume_service_account,service_account_5,benign
2024-01-25T10:57:21.601278Z,service_account_3,list_all_buckets_of_project,project_1,benign
2024-07-01T16:00:25.601278Z,service_account_1,log_on_to_instance,instance_6,benign
2024-09-11T00:12:14.601278Z,user_7,assign_ssh_key_to_instance,instance_3,benign
2024-06-09T13:51:06.601278Z,user_10,assign_ssh_key_to_instance,instance_41,benign
2023-11-30T03:41:23.601278Z,service_account_2,list_all_instances_in_project,project_1,benign
2023-11-12T20:33:59.601278Z,user_3,list_all_buckets_of_project,project_4,benign
2024-04-16T08:36:25.601278Z,user_10,log_on_to_instance,instance_21,benign
2023-10-14T03:12:24.601278Z,user_4,list_all_instances_in_project,project_3,benign
2024-02-12T03:31:44.601278Z,service_account_5,log_on_to_instance,instance_24,benign
2023-11-12T23:30:22.601278Z,user_8,list_all_objects_in_bucket,bucket_3,benign
2024-06-08T21:22:18.601278Z,user_4,list_all_instances_in_project,project_5,benign
2024-05-19T06:59:06.601278Z,service_account_3,list_all_buckets_of_project,project_1,benign
2023-12-19T11:29:20.601278Z,user_1,list_all_buckets_of_project,project_4,benign
2023-11-06T22:01:28.601278Z,service_account_4,read_object,data_object_6,benign
2024-07-17T04:58:22.601278Z,user_2,list_all_instances_in_project,project_4,benign
2024-03-20T01:37:04.601278Z,service_account_5,log_on_to_instance,instance_9,benign
2023-12-01T06:26:54.601278Z,user_1,assume_service_account,service_account_2,benign
2024-01-26T15:44:45.601278Z,user_2,read_object,data_object_79,benign
2024-03-21T22:18:28.601278Z,user_4,list_all_buckets_of_project,project_4,benign
2024-09-12T13:54:11.601278Z,user_2,list_all_objects_in_bucket,bucket_8,benign
2023-10-13T23:52:56.601278Z,user_10,log_on_to_instance,instance_12,benign
2024-03-15T11:30:14.601278Z,service_account_2,list_all_buckets_of_project,project_4,benign
2023-11-15T05:20:15.601278Z,user_3,assign_ssh_key_to_instance,instance_11,benign
2023-12-19T09:46:23.601278Z,user_5,list_all_instances_in_project,project_4,benign
2024-07-19T15:46:20.601278Z,service_account_5,log_on_to_instance,instance_45,benign
2024-09-03T23:42:37.601278Z,user_5,read_object,data_object_34,benign
2024-06-20T13:32:09.601278Z,service_account_4,list_all_instances_in_project,project_4,benign
2024-09-11T16:34:05.601278Z,user_2,log_on_to_instance,instance_48,benign
2024-01-25T04:36:54.601278Z,user_8,log_on_to_instance,instance_42,benign
2024-05-20T22:26:19.601278Z,user_3,assume_service_account,service_account_2,benign
2024-07-08T20:51:43.601278Z,service_account_2,assign_ssh_key_to_instance,instance_11,benign
2023-09-24T20:50:10.601278Z,service_account_5,assign_ssh_key_to_instance,instance_26,benign
2024-07-11T03:20:33.601278Z,service_account_3,list_all_buckets_of_project,project_4,benign
2024-06-20T19:04:24.601278Z,service_account_3,list_all_instances_in_project,project_5,benign
2023-09-29T06:23:28.601278Z,service_account_4,log_on_to_instance,instance_28,benign
2023-12-08T21:34:46.601278Z,service_account_4,assume_service_account,service_account_2,benign
2023-12-19T04:01:43.601278Z,service_account_4,assume_service_account,service_account_5,benign
2024-05-23T13:21:53.601278Z,service_account_4,read_object,data_object_35,benign
2023-10-20T02:08:53.601278Z,user_10,list_all_buckets_of_project,project_4,benign
2024-05-05T13:01:59.601278Z,service_account_5,read_object,data_object_32,benign
2024-08-30T15:03:47.601278Z,user_10,list_all_instances_in_project,project_5,benign
2024-05-21T22:44:13.601278Z,service_account_4,list_all_instances_in_project,project_2,benign
2023-11-11T13:22:58.601278Z,user_10,list_all_instances_in_project,project_4,benign
2024-06-07T21:25:21.601278Z,user_2,list_all_buckets_of_project,project_1,benign
2024-07-16T14:21:38.601278Z,service_account_2,assume_service_account,service_account_2,benign
2024-02-22T09:18:32.601278Z,user_1,list_all_buckets_of_project,project_5,benign
2024-05-29T22:44:18.601278Z,user_1,list_all_buckets_of_project,project_4,benign
2024-05-18T08:14:56.601278Z,user_6,log_on_to_instance,instance_3,benign
2024-06-02T20:06:31.601278Z,user_2,read_object,data_object_69,benign
2024-04-28T22:49:31.601278Z,user_1,assign_ssh_key_to_instance,instance_15,benign
